"data_nascimento","id","cpf","cep","num_cartao_sus","telefone_celular","telefone_responsavel","nome_mae","complemento","email","nome","sexo","endereco","num_endereco","estado","cidade","eh_tabagista","eh_etilista","tem_lesao_suspeita","bairro","participa_smart_monitor"
"2000-03-22 00:00:00","1822","50399018018",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 6",NULL,NULL,"modal teste 6","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-03-22 00:00:00","1823","50634157094",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 7",NULL,NULL,"modal teste 7","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-03-22 00:00:00","1814","54038054004",NULL,NULL,"(66) 66666-6666",NULL,"mae do modal teste 3",NULL,NULL,"modal teste 3","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False
"2005-10-12 00:00:00","1765","08851460183",NULL,"","(62) 99232-7321","","Marcela Pereira",NULL,NULL,"Hugo de Teste","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2005-11-12 00:00:00","1766","23922291040",NULL,NULL,"(62) 99321-2342",NULL,"Carla Soarez ",NULL,NULL,"FulanoDe Teste","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-03-22 00:00:00","1829","86543111003",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 13",NULL,NULL,"modal teste 13","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-08-30 00:00:00","1783","72698345047",NULL,"000.0000.0000.0000","(00) 00000-0000","(00) 00000-0000","Acompanhamento + Decisão Clínica",NULL,NULL,"Acompanhamento + Decisão Clínica","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-03-22 00:00:00","1826","01494558017",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 10",NULL,NULL,"modal teste 10","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2001-06-30 00:00:00","1767","74790637174",NULL,NULL,"(62) 99999-9999",NULL,"Teste Mae",NULL,NULL,"Teste Teste","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-03-22 00:00:00","1828","84051084086",NULL,NULL,"(22) 22222-2222",NULL,"mae do teste modal 12",NULL,NULL,"teste modal 12","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-03-22 00:00:00","1830","24499050065",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 14",NULL,NULL,"modal teste 14","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-03-22 00:00:00","1802","45671815061",NULL,NULL,"(22) 22222-2222",NULL,"maria teste",NULL,NULL,"joao teste","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-03-22 00:00:00","1827","65705028083",NULL,NULL,"(22) 22222-2222",NULL,"mae do modal teste 11",NULL,NULL,"modal teste 11","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"1975-03-12 00:00:00","1833","51261666038",NULL,"710.9841.9402.0034","(63) 99934-0372","","Mãe Zezinho",NULL,"testeszezinho@gmail.com","Testes Zezinho","MASCULINO",NULL,NULL,NULL,NULL,True,True,True,NULL,True
"2004-09-02 00:00:00","1834","99134926020",NULL,"","(81) 99999-9999",NULL,"Teste teste",NULL,NULL,"Teste fineias","MASCULINO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True
"2000-01-01 14:28:17","101","93532226057","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","AtendimentoTestCase","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"1980-11-11 00:00:00","1801","83329845058",NULL,"","(11) 11111-1111",NULL,"teste 2",NULL,NULL,"paciente salvar","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"1970-07-15 00:00:00","1557","75150661058","74663200",NULL,"(62) 99238-8535","","Jéssica Andrade","","leandro@gmail.com","Leandro da Silva","MASCULINO","Rua Cobalto",NULL,"GO","Goiânia",True,False,False,"Setor Goiânia 2",True
"2000-01-01 14:28:17","107","73925288902","745000120","111.1111.1111.1111","62991623499","62991623499","Mãe do Fulano","teste","emailteste@gmail.com","SegundaOpiniaoSolicitacaoTestCase","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
"2000-08-30 00:00:00","1784","94821357682",NULL,NULL,"(00) 00000-0000",NULL,"Atendimento sobrevidas",NULL,NULL,"Atendimento sobrevidas","MASCULINO",NULL,NULL,NULL,NULL,False,False,False,NULL,True
